,attrition_flag,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
3234,Attrited Customer,0,Doctorate,Married,$60K - $80K,Blue,7277.0
3235,Existing Customer,3,Graduate,Single,$40K - $60K,Blue,9426.0
3236,Existing Customer,2,Unknown,Single,$60K - $80K,Blue,1594.0
3237,Existing Customer,2,Graduate,Unknown,$80K - $120K,Blue,2158.0
3238,Existing Customer,3,College,Single,$40K - $60K,Blue,3490.0
3239,Existing Customer,5,Uneducated,Married,Less than $40K,Blue,2364.0
3240,Existing Customer,2,High School,Married,Unknown,Blue,15704.0
3241,Existing Customer,2,Post-Graduate,Unknown,$60K - $80K,Blue,18253.0
3242,Existing Customer,4,Graduate,Married,Less than $40K,Blue,3696.0
3243,Existing Customer,1,Graduate,Single,$40K - $60K,Blue,8748.0
3244,Existing Customer,2,Uneducated,Divorced,$40K - $60K,Blue,5608.0
3245,Existing Customer,4,Unknown,Married,$80K - $120K,Blue,34516.0
3246,Existing Customer,1,Unknown,Single,Less than $40K,Blue,3236.0
3247,Existing Customer,2,Post-Graduate,Single,Less than $40K,Blue,2736.0
3248,Existing Customer,4,Unknown,Single,Less than $40K,Blue,5195.0
3249,Existing Customer,5,Unknown,Single,$120K +,Silver,34516.0
3250,Existing Customer,3,Graduate,Married,$40K - $60K,Blue,6327.0
3251,Existing Customer,2,Doctorate,Unknown,$80K - $120K,Blue,4728.0
3252,Existing Customer,1,Unknown,Single,$80K - $120K,Blue,34516.0
3253,Existing Customer,1,Unknown,Single,$120K +,Blue,6276.0
3254,Existing Customer,2,Graduate,Single,$80K - $120K,Blue,13430.0
3255,Existing Customer,1,Graduate,Single,$60K - $80K,Blue,2796.0
3256,Existing Customer,2,Graduate,Married,$40K - $60K,Blue,2457.0
3257,Existing Customer,1,Unknown,Single,Less than $40K,Blue,7075.0
3258,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,12386.0
3259,Existing Customer,4,College,Single,$80K - $120K,Blue,32210.0
3260,Existing Customer,1,Graduate,Single,$40K - $60K,Blue,2136.0
3261,Existing Customer,2,Doctorate,Single,$80K - $120K,Blue,10851.0
3262,Existing Customer,1,Unknown,Divorced,$120K +,Blue,2717.0
3263,Existing Customer,2,High School,Single,Unknown,Blue,3578.0
3264,Existing Customer,1,Unknown,Single,$60K - $80K,Blue,10698.0
3265,Existing Customer,1,Uneducated,Divorced,Less than $40K,Blue,4668.0
3266,Existing Customer,3,College,Divorced,Unknown,Blue,6772.0
3267,Existing Customer,1,College,Single,$80K - $120K,Blue,10696.0
3268,Existing Customer,3,High School,Single,$80K - $120K,Blue,11851.0
3269,Existing Customer,2,Doctorate,Single,$40K - $60K,Blue,11558.0
3270,Existing Customer,3,High School,Unknown,$60K - $80K,Blue,9551.0
3271,Existing Customer,2,High School,Unknown,$80K - $120K,Blue,29923.0
3272,Attrited Customer,3,Doctorate,Unknown,Less than $40K,Blue,1438.3
3273,Existing Customer,3,Uneducated,Single,$120K +,Blue,34516.0
3274,Existing Customer,0,College,Single,$80K - $120K,Blue,9033.0
3275,Attrited Customer,3,Uneducated,Married,Less than $40K,Blue,3675.0
3276,Existing Customer,2,High School,Married,$80K - $120K,Blue,9183.0
3277,Existing Customer,4,Unknown,Married,Less than $40K,Blue,7924.0
3278,Existing Customer,3,College,Single,Less than $40K,Blue,5383.0
3279,Existing Customer,3,Graduate,Single,$40K - $60K,Silver,21425.0
3280,Existing Customer,3,Unknown,Unknown,$80K - $120K,Blue,32866.0
3281,Existing Customer,3,Uneducated,Single,Less than $40K,Blue,1438.3
3282,Existing Customer,1,Doctorate,Single,$40K - $60K,Blue,10467.0
3283,Existing Customer,2,Graduate,Single,$120K +,Blue,12856.0
3284,Attrited Customer,0,Graduate,Single,$40K - $60K,Blue,9721.0
3285,Attrited Customer,5,Graduate,Married,Less than $40K,Blue,3981.0
3286,Existing Customer,4,Unknown,Single,Less than $40K,Blue,7587.0
3287,Existing Customer,3,High School,Single,$40K - $60K,Blue,3417.0
3288,Existing Customer,2,Unknown,Single,Unknown,Blue,8012.0
3289,Attrited Customer,0,Graduate,Single,Less than $40K,Blue,3812.0
3290,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,21378.0
3291,Existing Customer,1,Graduate,Single,Less than $40K,Silver,12873.0
3292,Existing Customer,3,High School,Single,$60K - $80K,Blue,20229.0
3293,Existing Customer,2,Unknown,Single,Less than $40K,Blue,5387.0
3294,Existing Customer,3,Graduate,Unknown,$80K - $120K,Blue,16546.0
3295,Existing Customer,3,Uneducated,Married,$40K - $60K,Blue,11191.0
3296,Existing Customer,3,High School,Divorced,$60K - $80K,Blue,17576.0
3297,Existing Customer,1,Uneducated,Single,Less than $40K,Blue,4182.0
3298,Existing Customer,0,Graduate,Single,$40K - $60K,Blue,10271.0
3299,Existing Customer,3,Unknown,Single,Less than $40K,Blue,1647.0
3300,Existing Customer,1,High School,Single,Less than $40K,Blue,1560.0
3301,Existing Customer,5,Post-Graduate,Single,$60K - $80K,Blue,1659.0
3302,Existing Customer,1,High School,Single,$120K +,Blue,22487.0
3303,Existing Customer,0,Graduate,Unknown,Less than $40K,Blue,5403.0
3304,Existing Customer,1,High School,Single,$40K - $60K,Blue,4717.0
3305,Existing Customer,2,High School,Single,$60K - $80K,Blue,5180.0
3306,Attrited Customer,2,High School,Single,$80K - $120K,Blue,4915.0
3307,Existing Customer,4,High School,Married,$80K - $120K,Blue,12154.0
3308,Existing Customer,4,Graduate,Married,$60K - $80K,Blue,3258.0
3309,Existing Customer,5,High School,Unknown,Unknown,Blue,13349.0
3310,Attrited Customer,4,Graduate,Single,$120K +,Silver,34516.0
3311,Existing Customer,4,Graduate,Single,$80K - $120K,Blue,31458.0
3312,Existing Customer,4,College,Married,Less than $40K,Blue,1438.3
3313,Existing Customer,4,Uneducated,Married,Less than $40K,Silver,10961.0
3314,Existing Customer,2,Unknown,Unknown,$60K - $80K,Blue,8904.0
3315,Existing Customer,4,High School,Married,$40K - $60K,Blue,2498.0
3316,Existing Customer,3,Graduate,Unknown,$80K - $120K,Blue,16105.0
3317,Existing Customer,3,Graduate,Unknown,Unknown,Silver,34516.0
3318,Existing Customer,3,Graduate,Unknown,Unknown,Blue,2222.0
3319,Existing Customer,4,Graduate,Married,Unknown,Blue,16815.0
3320,Attrited Customer,3,Unknown,Married,Unknown,Blue,11538.0
3321,Attrited Customer,2,Graduate,Divorced,$40K - $60K,Blue,9569.0
3322,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,3340.0
3323,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,3654.0
3324,Existing Customer,2,Graduate,Married,$40K - $60K,Blue,10541.0
3325,Existing Customer,4,Uneducated,Single,$120K +,Silver,34516.0
3326,Existing Customer,4,Graduate,Single,Unknown,Silver,34516.0
3327,Existing Customer,2,Graduate,Single,$80K - $120K,Blue,1613.0
3328,Attrited Customer,3,College,Single,$80K - $120K,Blue,1438.3
3329,Existing Customer,2,Uneducated,Married,Unknown,Blue,13126.0
3330,Existing Customer,4,College,Divorced,$40K - $60K,Blue,1922.0
3331,Existing Customer,3,Graduate,Unknown,Less than $40K,Silver,14521.0
3332,Attrited Customer,0,Graduate,Single,Less than $40K,Blue,1931.0
3333,Existing Customer,3,Graduate,Single,$40K - $60K,Blue,8513.0
3334,Existing Customer,1,High School,Single,$40K - $60K,Blue,2421.0
3335,Existing Customer,5,High School,Married,Less than $40K,Blue,1478.0
3336,Existing Customer,1,Graduate,Single,$60K - $80K,Blue,2466.0
3337,Existing Customer,2,Post-Graduate,Divorced,Less than $40K,Blue,2501.0
3338,Existing Customer,3,Doctorate,Single,$60K - $80K,Blue,13602.0
3339,Existing Customer,3,Graduate,Single,Less than $40K,Blue,3094.0
3340,Existing Customer,2,High School,Married,Less than $40K,Blue,2485.0
3341,Existing Customer,1,Uneducated,Married,$80K - $120K,Blue,14817.0
3342,Existing Customer,3,Unknown,Married,$80K - $120K,Blue,13824.0
3343,Existing Customer,4,College,Single,Less than $40K,Blue,1438.3
3344,Existing Customer,0,Unknown,Married,$60K - $80K,Blue,3797.0
3345,Existing Customer,1,Graduate,Single,Less than $40K,Blue,6189.0
3346,Existing Customer,4,Unknown,Married,$60K - $80K,Blue,22956.0
3347,Existing Customer,1,Unknown,Married,$40K - $60K,Blue,3943.0
3348,Existing Customer,2,Post-Graduate,Divorced,$120K +,Blue,5569.0
3349,Existing Customer,1,College,Married,$80K - $120K,Blue,2418.0
3350,Existing Customer,4,Unknown,Single,Less than $40K,Blue,1963.0
3351,Existing Customer,2,High School,Unknown,Unknown,Blue,7966.0
3352,Existing Customer,3,Graduate,Married,Less than $40K,Blue,7742.0
3353,Existing Customer,0,High School,Single,Less than $40K,Blue,2074.0
3354,Attrited Customer,3,Graduate,Divorced,$40K - $60K,Blue,4948.0
3355,Existing Customer,1,Uneducated,Married,$60K - $80K,Blue,4988.0
3356,Existing Customer,1,Graduate,Single,$60K - $80K,Silver,28701.0
3357,Existing Customer,0,Unknown,Single,$40K - $60K,Blue,6607.0
3358,Existing Customer,5,Uneducated,Divorced,$60K - $80K,Blue,16034.0
3359,Existing Customer,3,Graduate,Divorced,$60K - $80K,Blue,24149.0
3360,Existing Customer,2,Uneducated,Unknown,$40K - $60K,Silver,16903.0
3361,Existing Customer,3,College,Married,$60K - $80K,Blue,1438.3
3362,Attrited Customer,5,Graduate,Single,$60K - $80K,Blue,24657.0
3363,Attrited Customer,3,Unknown,Single,$40K - $60K,Blue,5026.0
3364,Existing Customer,1,Graduate,Single,Unknown,Blue,9352.0
3365,Existing Customer,2,College,Single,$60K - $80K,Blue,4939.0
3366,Attrited Customer,3,Graduate,Married,$40K - $60K,Blue,9502.0
3367,Attrited Customer,0,Doctorate,Single,Less than $40K,Blue,2936.0
3368,Existing Customer,2,Uneducated,Single,$80K - $120K,Blue,22855.0
3369,Existing Customer,3,Graduate,Married,$40K - $60K,Blue,6602.0
3370,Attrited Customer,3,Graduate,Married,$80K - $120K,Blue,3728.0
3371,Existing Customer,4,Graduate,Single,$60K - $80K,Blue,2021.0
3372,Existing Customer,2,Graduate,Married,$40K - $60K,Blue,2255.0
3373,Existing Customer,2,Graduate,Single,Less than $40K,Gold,15704.0
3374,Existing Customer,2,Unknown,Married,$60K - $80K,Blue,5746.0
3375,Existing Customer,3,Unknown,Single,$40K - $60K,Blue,8436.0
3376,Attrited Customer,1,Doctorate,Married,$40K - $60K,Blue,1438.3
3377,Existing Customer,3,High School,Single,Less than $40K,Blue,8340.0
3378,Existing Customer,3,Graduate,Unknown,$80K - $120K,Blue,15108.0
3379,Existing Customer,3,Graduate,Single,$40K - $60K,Silver,15104.0
3380,Existing Customer,1,Graduate,Married,Less than $40K,Blue,2490.0
3381,Existing Customer,1,Graduate,Married,Less than $40K,Blue,2009.0
3382,Attrited Customer,2,Graduate,Single,$120K +,Blue,31668.0
3383,Existing Customer,4,Unknown,Married,$60K - $80K,Blue,5735.0
3384,Existing Customer,3,High School,Unknown,$80K - $120K,Blue,7633.0
3385,Existing Customer,3,High School,Single,$60K - $80K,Blue,23642.0
3386,Existing Customer,3,Unknown,Married,$40K - $60K,Blue,6698.0
3387,Existing Customer,2,Unknown,Single,Less than $40K,Blue,1438.3
3388,Existing Customer,3,Graduate,Single,Less than $40K,Blue,1438.3
3389,Existing Customer,3,Uneducated,Single,Less than $40K,Blue,2563.0
3390,Existing Customer,1,Post-Graduate,Single,$40K - $60K,Silver,17814.0
3391,Existing Customer,2,Doctorate,Single,Unknown,Blue,7738.0
3392,Attrited Customer,0,Unknown,Single,$120K +,Blue,13114.0
3393,Existing Customer,2,Unknown,Married,$120K +,Blue,34516.0
3394,Existing Customer,3,Graduate,Single,Unknown,Blue,17345.0
3395,Existing Customer,2,College,Single,$120K +,Blue,8706.0
3396,Existing Customer,3,High School,Single,$60K - $80K,Blue,19272.0
3397,Existing Customer,3,High School,Married,Unknown,Blue,4798.0
3398,Attrited Customer,3,High School,Single,$60K - $80K,Blue,12254.0
3399,Existing Customer,3,Doctorate,Married,$80K - $120K,Blue,9549.0
3400,Existing Customer,2,Uneducated,Divorced,Less than $40K,Silver,11568.0
3401,Existing Customer,3,Unknown,Married,Less than $40K,Blue,6197.0
3402,Existing Customer,3,Graduate,Married,$80K - $120K,Silver,34516.0
3403,Existing Customer,2,Unknown,Married,$40K - $60K,Blue,5137.0
3404,Existing Customer,4,Graduate,Single,$80K - $120K,Blue,1791.0
3405,Existing Customer,0,Graduate,Single,Less than $40K,Blue,7238.0
3406,Existing Customer,3,High School,Married,$80K - $120K,Blue,4514.0
3407,Existing Customer,4,Uneducated,Married,Unknown,Blue,5366.0
3408,Existing Customer,3,Unknown,Divorced,$60K - $80K,Silver,29812.0
3409,Existing Customer,2,Graduate,Married,$40K - $60K,Blue,9559.0
3410,Existing Customer,2,High School,Married,Less than $40K,Blue,8353.0
3411,Existing Customer,5,Unknown,Married,Less than $40K,Blue,5455.0
3412,Existing Customer,1,Uneducated,Unknown,Less than $40K,Blue,9899.0
3413,Existing Customer,4,Graduate,Single,$40K - $60K,Silver,15578.0
3414,Existing Customer,1,Graduate,Married,Unknown,Blue,15641.0
3415,Existing Customer,4,Graduate,Married,Less than $40K,Blue,3504.0
3416,Existing Customer,1,Unknown,Divorced,$80K - $120K,Blue,18432.0
3417,Existing Customer,4,College,Single,$60K - $80K,Blue,2369.0
3418,Attrited Customer,0,High School,Single,$40K - $60K,Blue,10882.0
3419,Existing Customer,3,Unknown,Unknown,$40K - $60K,Blue,3509.0
3420,Existing Customer,1,Graduate,Single,Less than $40K,Blue,2469.0
3421,Existing Customer,3,Uneducated,Married,Less than $40K,Silver,14335.0
3422,Existing Customer,3,High School,Single,$40K - $60K,Blue,4005.0
3423,Existing Customer,4,Unknown,Single,Less than $40K,Blue,1976.0
3424,Attrited Customer,5,Graduate,Married,Less than $40K,Blue,3664.0
3425,Existing Customer,2,Unknown,Married,Less than $40K,Blue,3734.0
3426,Existing Customer,2,Graduate,Single,$40K - $60K,Blue,6033.0
3427,Existing Customer,3,High School,Married,$80K - $120K,Blue,4531.0
3428,Existing Customer,3,Uneducated,Unknown,Less than $40K,Blue,6245.0
3429,Existing Customer,5,Doctorate,Single,$80K - $120K,Silver,34516.0
3430,Existing Customer,5,Graduate,Married,$60K - $80K,Blue,11880.0
3431,Existing Customer,2,Unknown,Married,Less than $40K,Blue,4188.0
3432,Existing Customer,2,Uneducated,Single,Less than $40K,Blue,9344.0
3433,Existing Customer,3,High School,Married,$80K - $120K,Blue,24126.0
3434,Existing Customer,5,High School,Unknown,$120K +,Blue,34516.0
3435,Existing Customer,0,High School,Single,Less than $40K,Blue,2295.0
3436,Attrited Customer,3,Graduate,Married,$40K - $60K,Blue,5496.0
3437,Attrited Customer,2,Graduate,Single,$80K - $120K,Blue,12342.0
3438,Existing Customer,1,College,Unknown,Less than $40K,Blue,1928.0
3439,Existing Customer,1,Uneducated,Single,$60K - $80K,Blue,12814.0
3440,Existing Customer,2,Uneducated,Married,Less than $40K,Blue,5242.0
3441,Attrited Customer,3,Graduate,Married,$60K - $80K,Blue,8808.0
3442,Existing Customer,3,Graduate,Single,Less than $40K,Blue,4469.0
3443,Existing Customer,1,Doctorate,Married,$80K - $120K,Blue,8031.0
3444,Existing Customer,4,High School,Unknown,$60K - $80K,Blue,9728.0
3445,Existing Customer,5,Doctorate,Married,$40K - $60K,Blue,4748.0
3446,Existing Customer,2,Graduate,Single,$80K - $120K,Blue,19999.0
3447,Existing Customer,2,Uneducated,Divorced,$40K - $60K,Blue,6331.0
3448,Existing Customer,2,Unknown,Single,$40K - $60K,Blue,9662.0
3449,Attrited Customer,2,Graduate,Married,Less than $40K,Blue,1693.0
3450,Existing Customer,3,Unknown,Married,Less than $40K,Blue,2964.0
3451,Existing Customer,2,High School,Single,Less than $40K,Blue,5483.0
3452,Attrited Customer,3,Graduate,Married,$60K - $80K,Blue,15186.0
3453,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,33408.0
3454,Existing Customer,2,High School,Married,Less than $40K,Blue,3125.0
3455,Existing Customer,3,Graduate,Single,$60K - $80K,Blue,2934.0
3456,Existing Customer,3,Graduate,Single,$120K +,Blue,34516.0
3457,Attrited Customer,1,Doctorate,Single,$40K - $60K,Blue,5349.0
3458,Existing Customer,3,Uneducated,Single,$80K - $120K,Blue,9810.0
3459,Existing Customer,4,College,Married,$120K +,Blue,7084.0
3460,Existing Customer,2,Unknown,Single,Less than $40K,Blue,3537.0
3461,Existing Customer,5,Doctorate,Single,Less than $40K,Blue,8896.0
3462,Existing Customer,3,Unknown,Divorced,$80K - $120K,Blue,30733.0
3463,Existing Customer,0,Unknown,Married,$60K - $80K,Blue,10177.0
3464,Existing Customer,3,High School,Married,Less than $40K,Blue,6848.0
3465,Existing Customer,1,Graduate,Married,$60K - $80K,Blue,17165.0
3466,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,20274.0
3467,Existing Customer,1,Doctorate,Divorced,$60K - $80K,Blue,19939.0
3468,Existing Customer,3,Graduate,Single,$120K +,Blue,3378.0
3469,Existing Customer,2,Unknown,Married,$80K - $120K,Blue,9773.0
3470,Existing Customer,1,Unknown,Married,Unknown,Blue,3668.0
3471,Existing Customer,0,Graduate,Single,Less than $40K,Blue,3196.0
3472,Attrited Customer,3,College,Single,$80K - $120K,Silver,34516.0
3473,Existing Customer,2,High School,Single,Less than $40K,Blue,7030.0
3474,Attrited Customer,5,High School,Married,$80K - $120K,Blue,9410.0
3475,Attrited Customer,2,Graduate,Single,$120K +,Blue,34516.0
3476,Existing Customer,0,Graduate,Married,Less than $40K,Blue,4096.0
3477,Existing Customer,2,Graduate,Married,Unknown,Blue,7210.0
3478,Existing Customer,2,High School,Single,$80K - $120K,Blue,8026.0
3479,Existing Customer,3,Graduate,Unknown,Unknown,Blue,18064.0
3480,Existing Customer,3,Graduate,Single,Less than $40K,Blue,5596.0
3481,Existing Customer,2,Uneducated,Married,Less than $40K,Blue,6897.0
3482,Existing Customer,3,Post-Graduate,Married,Less than $40K,Silver,13991.0
3483,Existing Customer,3,Post-Graduate,Married,$40K - $60K,Blue,11366.0
3484,Existing Customer,3,High School,Single,Less than $40K,Blue,1707.0
3485,Existing Customer,4,Doctorate,Married,Unknown,Blue,23692.0
3486,Existing Customer,5,Unknown,Unknown,$80K - $120K,Blue,11191.0
3487,Existing Customer,5,College,Married,Less than $40K,Blue,3476.0
3488,Existing Customer,2,Uneducated,Single,$60K - $80K,Silver,27781.0
3489,Existing Customer,4,Graduate,Single,$60K - $80K,Blue,10534.0
3490,Existing Customer,1,Graduate,Single,Less than $40K,Blue,2721.0
3491,Existing Customer,3,Graduate,Single,$80K - $120K,Blue,10458.0
3492,Attrited Customer,4,High School,Married,$60K - $80K,Blue,12544.0
3493,Existing Customer,5,Doctorate,Single,$60K - $80K,Blue,11464.0
3494,Existing Customer,1,Uneducated,Married,$120K +,Blue,3104.0
3495,Existing Customer,1,Unknown,Married,$60K - $80K,Blue,11770.0
3496,Existing Customer,1,Graduate,Single,$120K +,Blue,34516.0
3497,Existing Customer,4,Unknown,Single,$60K - $80K,Blue,10998.0
3498,Existing Customer,4,Unknown,Married,Less than $40K,Blue,2757.0
3499,Existing Customer,3,Uneducated,Single,$60K - $80K,Blue,5489.0
3500,Existing Customer,1,High School,Single,$120K +,Blue,19709.0
3501,Attrited Customer,3,Graduate,Married,Less than $40K,Blue,6967.0
3502,Existing Customer,3,High School,Married,$80K - $120K,Blue,23424.0
3503,Existing Customer,3,High School,Single,$60K - $80K,Blue,21718.0
3504,Existing Customer,3,Uneducated,Single,Less than $40K,Blue,4908.0
3505,Existing Customer,2,High School,Single,$40K - $60K,Blue,1470.0
3506,Existing Customer,0,Graduate,Single,$80K - $120K,Gold,34516.0
3507,Existing Customer,1,Graduate,Single,Less than $40K,Blue,7936.0
3508,Existing Customer,4,College,Single,$60K - $80K,Blue,14366.0
3509,Existing Customer,0,Unknown,Single,$40K - $60K,Blue,9231.0
3510,Existing Customer,4,Uneducated,Married,$40K - $60K,Silver,18679.0
3511,Existing Customer,3,Uneducated,Divorced,Unknown,Blue,20356.0
3512,Existing Customer,1,Uneducated,Single,Unknown,Blue,2259.0
3513,Existing Customer,0,Graduate,Single,Less than $40K,Blue,6663.0
3514,Existing Customer,4,Unknown,Unknown,Less than $40K,Blue,2424.0
3515,Existing Customer,5,College,Single,$40K - $60K,Silver,15677.0
3516,Existing Customer,4,Graduate,Divorced,$40K - $60K,Blue,2334.0
3517,Existing Customer,3,College,Single,Unknown,Blue,1816.0
3518,Existing Customer,2,Graduate,Married,Less than $40K,Blue,4950.0
3519,Existing Customer,1,Uneducated,Single,$80K - $120K,Blue,34516.0
3520,Existing Customer,0,Uneducated,Married,$120K +,Blue,24172.0
3521,Existing Customer,1,Graduate,Married,$60K - $80K,Blue,9037.0
3522,Existing Customer,3,College,Single,Less than $40K,Blue,7616.0
3523,Existing Customer,2,Unknown,Divorced,$40K - $60K,Blue,11209.0
3524,Existing Customer,4,Uneducated,Divorced,Unknown,Blue,9908.0
3525,Existing Customer,2,Graduate,Married,$40K - $60K,Silver,18737.0
3526,Existing Customer,1,High School,Single,Less than $40K,Blue,5330.0
3527,Attrited Customer,3,High School,Single,$120K +,Blue,19032.0
3528,Existing Customer,1,Unknown,Single,Unknown,Blue,5916.0
3529,Existing Customer,4,Graduate,Married,$40K - $60K,Silver,16277.0
3530,Existing Customer,4,High School,Single,$60K - $80K,Blue,9442.0
3531,Existing Customer,3,Unknown,Single,Less than $40K,Blue,2990.0
3532,Existing Customer,3,Graduate,Unknown,$80K - $120K,Blue,2210.0
3533,Attrited Customer,4,Uneducated,Married,$40K - $60K,Blue,1527.0
3534,Existing Customer,1,Graduate,Single,$60K - $80K,Blue,6022.0
3535,Existing Customer,2,College,Divorced,$120K +,Blue,26729.0
3536,Existing Customer,1,High School,Single,Less than $40K,Blue,6102.0
3537,Existing Customer,2,Graduate,Divorced,Less than $40K,Blue,6803.0
3538,Existing Customer,3,Graduate,Single,$80K - $120K,Blue,8101.0
3539,Existing Customer,4,Graduate,Married,Less than $40K,Blue,4632.0
3540,Existing Customer,1,Graduate,Single,$40K - $60K,Blue,1996.0
3541,Existing Customer,3,Doctorate,Married,$120K +,Blue,11600.0
3542,Existing Customer,1,Unknown,Single,$40K - $60K,Blue,2657.0
3543,Existing Customer,5,Graduate,Single,Less than $40K,Blue,8464.0
3544,Existing Customer,3,Post-Graduate,Married,$80K - $120K,Blue,29003.0
3545,Existing Customer,3,High School,Single,$40K - $60K,Blue,5000.0
3546,Existing Customer,0,College,Single,Unknown,Blue,14963.0
3547,Existing Customer,2,Graduate,Divorced,Less than $40K,Blue,3855.0
3548,Existing Customer,4,College,Single,$120K +,Blue,28200.0
3549,Existing Customer,1,Graduate,Single,Less than $40K,Blue,2310.0
3550,Existing Customer,2,High School,Single,Less than $40K,Blue,1960.0
3551,Existing Customer,1,Graduate,Married,Less than $40K,Blue,3773.0
3552,Existing Customer,1,Graduate,Married,$80K - $120K,Blue,9771.0
3553,Existing Customer,0,Graduate,Single,Unknown,Blue,6417.0
3554,Existing Customer,3,Post-Graduate,Single,$60K - $80K,Blue,16037.0
3555,Attrited Customer,2,High School,Divorced,$40K - $60K,Blue,14839.0
3556,Existing Customer,3,Uneducated,Married,$80K - $120K,Silver,34516.0
3557,Existing Customer,2,College,Single,$40K - $60K,Blue,8769.0
3558,Existing Customer,1,Unknown,Married,$120K +,Blue,20968.0
3559,Existing Customer,3,High School,Married,$60K - $80K,Blue,2188.0
3560,Existing Customer,5,Unknown,Married,$80K - $120K,Blue,30314.0
3561,Attrited Customer,2,Graduate,Married,Unknown,Blue,18799.0
3562,Existing Customer,3,High School,Married,Less than $40K,Blue,1638.0
3563,Existing Customer,3,Graduate,Married,$40K - $60K,Blue,3538.0
3564,Existing Customer,1,Graduate,Single,$40K - $60K,Blue,2546.0
3565,Existing Customer,1,Graduate,Single,Unknown,Blue,10775.0
3566,Existing Customer,4,Unknown,Married,$40K - $60K,Blue,4798.0
3567,Existing Customer,2,Graduate,Single,Less than $40K,Blue,5816.0
3568,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,20533.0
3569,Existing Customer,1,College,Single,$80K - $120K,Blue,9890.0
3570,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,30820.0
3571,Existing Customer,2,Graduate,Married,Less than $40K,Blue,6091.0
3572,Existing Customer,2,High School,Single,$60K - $80K,Blue,9690.0
3573,Existing Customer,2,Doctorate,Single,$40K - $60K,Blue,6797.0
3574,Existing Customer,3,High School,Married,Less than $40K,Blue,4985.0
3575,Attrited Customer,0,Graduate,Divorced,Less than $40K,Blue,2125.0
3576,Existing Customer,4,Doctorate,Married,Less than $40K,Blue,4012.0
3577,Existing Customer,3,High School,Married,Unknown,Blue,23858.0
3578,Existing Customer,2,High School,Married,$40K - $60K,Blue,2619.0
3579,Existing Customer,3,Graduate,Single,Less than $40K,Blue,6728.0
3580,Existing Customer,4,Uneducated,Married,$40K - $60K,Blue,2680.0
3581,Existing Customer,4,Uneducated,Single,Less than $40K,Blue,2936.0
3582,Existing Customer,5,High School,Single,$60K - $80K,Blue,7478.0
3583,Existing Customer,4,Post-Graduate,Married,$60K - $80K,Blue,2527.0
3584,Attrited Customer,3,Unknown,Single,Less than $40K,Blue,5644.0
3585,Existing Customer,5,Uneducated,Single,Less than $40K,Blue,2837.0
3586,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,18584.0
3587,Attrited Customer,3,Unknown,Married,Less than $40K,Blue,5941.0
3588,Attrited Customer,2,Graduate,Married,$40K - $60K,Blue,9576.0
3589,Attrited Customer,1,Graduate,Single,$60K - $80K,Blue,9569.0
3590,Existing Customer,3,College,Unknown,$80K - $120K,Blue,15412.0
3591,Existing Customer,1,Graduate,Single,$80K - $120K,Blue,2663.0
3592,Existing Customer,2,Post-Graduate,Married,Less than $40K,Blue,1438.3
3593,Existing Customer,3,Doctorate,Married,$60K - $80K,Blue,5376.0
3594,Attrited Customer,4,Uneducated,Unknown,Unknown,Blue,18873.0
3595,Existing Customer,2,Doctorate,Single,$60K - $80K,Blue,5341.0
3596,Attrited Customer,1,Graduate,Single,$60K - $80K,Blue,9904.0
3597,Attrited Customer,3,High School,Divorced,Less than $40K,Blue,7084.0
3598,Attrited Customer,3,High School,Single,$80K - $120K,Blue,7498.0
3599,Existing Customer,0,High School,Married,$40K - $60K,Blue,5450.0
3600,Existing Customer,2,Unknown,Single,$120K +,Blue,32719.0
3601,Attrited Customer,2,Uneducated,Unknown,$40K - $60K,Blue,3250.0
3602,Existing Customer,3,College,Married,$40K - $60K,Blue,6111.0
3603,Existing Customer,1,Uneducated,Unknown,Less than $40K,Silver,12590.0
3604,Existing Customer,3,Graduate,Married,$40K - $60K,Blue,1982.0
3605,Existing Customer,4,Post-Graduate,Single,$60K - $80K,Silver,25133.0
3606,Existing Customer,4,Uneducated,Single,$120K +,Blue,17818.0
3607,Existing Customer,3,High School,Single,$120K +,Blue,5155.0
3608,Existing Customer,3,Unknown,Married,Less than $40K,Blue,6006.0
3609,Existing Customer,1,Uneducated,Single,Unknown,Blue,2571.0
3610,Existing Customer,2,Unknown,Married,$60K - $80K,Blue,3269.0
3611,Existing Customer,3,Graduate,Single,$40K - $60K,Blue,2798.0
3612,Existing Customer,3,Unknown,Single,$40K - $60K,Blue,7277.0
3613,Existing Customer,0,College,Unknown,Less than $40K,Blue,3788.0
3614,Existing Customer,3,High School,Single,$80K - $120K,Blue,28262.0
3615,Existing Customer,5,High School,Single,Less than $40K,Blue,2169.0
3616,Existing Customer,4,Graduate,Married,Less than $40K,Blue,3767.0
3617,Attrited Customer,3,Doctorate,Married,$120K +,Blue,8989.0
